Employee_ID,Department,Gender,Age,Experience,Salary,Performance,Joining_Year
101,IT,Male,24,2,4500,72,2024
102,IT,Female,27,4,5500,81,2022
103,IT,Male,30,6,7000,88,2020
104,IT,Female,33,8,8500,94,2018
105,HR,Female,23,1,4000,70,2025
106,HR,Male,26,3,5000,78,2023
107,HR,Female,29,5,6200,85,2021
108,HR,Male,31,7,6800,90,2019
109,Finance,Male,25,2,4800,75,2024
110,Finance,Female,28,4,6000,82,2022
111,Finance,Male,32,7,7500,91,2019
112,Finance,Female,35,9,9000,96,2017
113,IT,Male,29,5,6500,84,2021
114,HR,Female,30,6,6400,87,2020
115,Finance,Male,27,3,5200,79,2023
116,IT,Female,31,7,7800,91,2019
117,HR,Male,24,2,4300,73,2024
118,Finance,Female,33,8,8200,93,2018
119,IT,Male,36,10,9800,97,2016
120,HR,Female,28,4,5600,80,2022
